# idx_orig bit_orig post_llr hard
222 0 -24.14072699 0
223 1 15.98572814 1
224 1 24.48784726 1
225 0 -23.12413420 0
226 0 -25.89595147 0
227 0 -19.49534064 0
228 0 -24.14072699 0
229 1 22.79364444 1
230 0 -23.84442535 0
231 1 22.79364444 1
232 0 -20.35818508 0
233 1 18.33615298 1
234 1 19.49534064 1
235 1 18.33615298 1
236 0 -18.33615298 0
237 1 18.33615298 1
238 0 -23.34874448 0
239 1 23.34874448 1
240 1 23.34874448 1
241 0 -22.68995344 0
242 0 -25.70720294 0
243 1 19.19568755 1
244 0 -33.02385610 0
245 0 -19.19568755 0
246 1 15.70419068 1
247 1 13.86990189 1
248 1 16.58326864 1
249 1 13.86990189 1
250 1 9.78674928 1
251 1 12.95180632 1
252 1 16.99016439 1
253 0 -12.95180632 0
254 0 -16.58326864 0
255 1 14.98115460 1
256 0 -12.07168556 0
257 0 -9.78674928 0
258 0 -19.24935395 0
259 1 14.74618190 1
260 1 12.07168556 1
261 1 12.07168556 1
262 1 23.89693986 1
263 0 -24.40439067 0
264 1 22.53452505 1
265 1 22.53452505 1
266 0 -25.89033184 0
267 0 -19.38011859 0
268 0 -13.92515896 0
269 1 19.14883774 1
270 1 18.75808743 1
271 1 16.49134217 1
272 0 -16.38815691 0
273 0 -12.33432015 0
274 1 15.26347813 1
275 0 -12.33432015 0
276 1 18.62432130 1
277 0 -12.33432015 0
278 0 -12.23167690 0
279 0 -12.23167690 0
280 0 -12.33432015 0
281 1 12.23167690 1
282 0 -13.08647104 0
283 0 -13.08647104 0
284 1 24.05894016 1
285 0 -21.03460468 0
286 0 -26.45248286 0
287 0 -21.90444175 0
288 0 -26.18541162 0
289 0 -21.03460468 0
290 0 -21.03460468 0
291 0 -22.46927587 0
292 0 -23.72232243 0
293 0 -26.32718519 0
294 1 26.32718519 1
295 0 -26.70000765 0
296 1 23.72232243 1
297 1 27.97409608 1
298 1 28.48007430 1
299 1 25.47973693 1
300 1 24.12030189 1
301 0 -25.47973693 0
302 0 -9.85726148 0
303 0 -16.79691122 0
304 1 17.78503460 1
305 1 19.27382186 1
306 0 -13.42299639 0
307 1 13.42299639 1
308 0 -18.40148295 0
309 0 -9.85726148 0
310 0 -16.02216841 0
311 0 -14.74534667 0
312 0 -18.83104258 0
313 0 -9.68142044 0
314 1 8.11438593 1
315 0 -14.74534667 0
316 1 9.68142044 1
317 0 -15.29413393 0
318 1 -8.11438593 0
319 0 -8.11438593 0
