Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=4570
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
183 945 1 1 -16 7 -7 37 0 ERR
184 5000 0 0 12 -16 -16 -64 1 ERR
185 2335 1 1 -16 0 14 63 0 ERR
186 5238 0 0 9 15 11 -40 1 ERR
187 1421 1 1 -8 -8 -3 63 0 ERR
188 3172 1 1 0 8 15 48 0 ERR
189 4347 1 1 -11 -8 -10 63 0 ERR
190 4946 1 1 -15 -13 -16 62 0 ERR
191 4969 1 1 -15 3 15 48 0 ERR
192 4416 0 0 12 -16 12 -64 1 ERR
193 3287 0 0 12 -14 12 -62 1 ERR
194 1582 1 1 -16 12 5 59 0 ERR
195 5445 1 1 -10 -6 15 50 0 ERR
196 2588 0 0 13 11 10 -48 1 ERR
197 5299 0 0 9 5 5 -62 1 ERR
198 1290 1 1 -16 -16 7 53 0 ERR
199 2849 1 1 -11 -7 13 63 0 ERR
200 3832 1 1 -14 -14 7 63 0 ERR
201 4239 0 0 7 9 -6 -33 1 ERR
202 4070 0 0 7 15 -16 -63 1 ERR
203 3325 0 0 9 -15 -10 -48 1 ERR
204 2004 0 0 7 -16 12 -30 1 ERR
205 107 1 1 -8 12 5 20 0 ERR
206 3778 1 1 -8 -16 15 17 0 ERR
207 729 0 0 4 4 -7 -22 1 ERR
208 3248 0 0 15 -16 -14 -27 1 ERR
209 5191 0 0 12 1 10 29 0 OK
210 414 0 0 13 15 15 40 0 OK
211 1205 0 0 9 -16 13 -45 1 ERR
212 1420 0 0 15 -8 -7 -30 1 ERR
213 1059 0 0 3 -8 9 -43 1 ERR
214 122 0 0 11 15 -13 -21 1 ERR
215 4753 1 1 -16 12 0 47 0 ERR
216 2664 1 1 -5 -16 -13 -20 1 OK
217 6143 1 1 -10 12 13 18 0 ERR
218 2902 1 1 -6 -12 13 63 0 ERR
219 5229 1 1 -16 -16 9 18 0 ERR
220 836 0 0 12 -9 -5 -43 1 ERR
221 2011 1 1 -16 9 3 32 0 ERR
222 2610 0 0 2 2 -16 -33 1 ERR
223 2633 1 1 -3 -9 -16 33 0 ERR
224 2080 1 1 -3 -16 9 -35 1 OK
225 951 0 0 15 -1 15 -52 1 ERR
226 5390 0 0 15 -11 -16 34 0 OK
227 3109 0 0 5 15 -16 13 0 OK
228 252 0 0 2 5 -12 48 0 OK
229 2963 1 1 -16 -12 -12 -41 1 OK
230 5098 0 0 15 9 15 -62 1 ERR
231 513 1 1 -11 -16 -9 38 0 ERR
232 1496 0 0 13 -4 7 -64 1 ERR
233 1903 1 1 -16 -13 -15 36 0 ERR
234 1734 1 1 -16 15 -15 -1 1 OK
235 989 1 1 -5 14 -5 38 0 ERR
236 5812 0 0 10 -4 -10 1 0 OK
237 3915 1 1 -13 -15 -9 48 0 ERR
238 1442 0 0 7 14 3 17 0 OK
239 4537 1 1 -8 -16 -12 -25 1 OK
240 912 1 1 -16 4 -3 37 0 ERR
241 2855 0 0 13 12 13 15 0 OK
242 4222 0 0 4 -3 -7 -43 1 ERR
243 5013 1 1 -3 -4 -9 -31 1 OK
244 5228 0 0 2 14 -16 -27 1 ERR
245 4867 0 0 13 -10 15 -19 1 ERR
246 3930 1 1 -10 -10 15 28 0 ERR
247 2417 1 1 -6 -10 -16 -19 1 OK
248 328 1 1 -16 -9 -16 -16 1 OK
249 3807 1 1 -9 -7 -9 18 0 ERR
250 566 1 1 -16 -10 15 25 0 ERR
251 2893 1 1 -6 -1 -7 31 0 ERR
252 4644 1 1 -15 -16 -12 -2 1 OK
253 5819 0 0 15 9 6 -23 1 ERR
254 274 0 0 9 15 -11 -23 1 ERR
255 297 1 1 -4 13 -14 6 0 ERR
256 5888 0 0 15 -3 -10 -1 1 ERR
257 4759 0 0 2 15 -16 1 0 OK
258 3054 0 0 15 7 13 -41 1 ERR
259 773 1 1 6 15 5 1 0 ERR
260 4060 1 1 -4 15 -13 -64 1 OK
261 627 1 1 -16 -16 15 2 0 ERR
262 2762 1 1 -16 11 -11 30 0 ERR
263 4321 0 0 10 8 -16 33 0 OK
264 5304 1 1 -16 -15 -16 40 0 ERR
265 5711 1 1 -16 -16 11 58 0 ERR
266 5542 0 0 15 -16 10 -36 1 ERR
267 4797 0 0 14 -9 -5 11 0 OK
268 3476 0 0 15 -1 -16 -52 1 ERR
269 1579 1 1 -16 10 -10 -13 1 OK
270 5250 1 1 -5 -11 -14 21 0 ERR
271 2201 1 1 -14 15 9 -3 1 OK
272 4720 0 0 1 5 15 15 0 OK
273 519 0 0 15 15 2 -26 1 ERR
274 1886 1 1 -15 -13 -12 43 0 ERR
275 2677 0 0 13 6 15 -27 1 ERR
276 2892 1 1 -13 8 -4 49 0 ERR
277 2531 0 0 9 8 -3 -38 1 ERR
278 1594 0 0 15 -16 5 -3 1 ERR
279 81 0 0 15 -16 -12 24 0 OK
280 4136 0 0 8 -8 -6 -22 1 ERR
281 1471 1 1 -12 -16 5 27 0 ERR
282 4374 0 0 10 1 10 -24 1 ERR
283 557 0 0 12 -16 15 -3 1 ERR
284 2308 1 1 -3 -6 -1 -26 1 OK
285 3483 0 0 1 -7 -10 26 0 OK
286 4082 0 0 15 -16 6 -33 1 ERR
287 4105 0 0 14 15 6 -20 1 ERR
288 3552 0 0 12 -16 14 34 0 OK
289 2423 0 0 15 15 5 23 0 OK
290 718 0 0 3 11 -12 -11 1 ERR
291 4581 0 0 11 -6 14 -33 1 ERR
292 1724 0 0 15 -6 7 12 0 OK
293 4435 0 0 5 0 9 11 0 OK
294 426 1 1 -16 -2 -8 3 0 ERR
295 1985 0 0 7 -8 -11 -29 1 ERR
296 2968 1 1 -10 15 4 32 0 ERR
297 3375 1 1 0 -5 -5 -45 1 OK
298 3206 1 1 -3 -16 -9 23 0 ERR
299 2461 1 1 -15 10 -4 38 0 ERR
300 1140 1 1 -6 15 -16 28 0 ERR
301 5387 0 0 8 -13 -10 23 0 OK
302 2914 0 0 8 11 -3 -5 1 ERR
303 6009 0 0 15 15 -16 -54 1 ERR
304 2384 1 1 -4 10 -14 63 0 ERR
305 4327 1 1 -8 8 10 63 0 ERR
306 5694 0 0 15 1 6 -24 1 ERR
307 341 1 1 -6 15 14 -50 1 OK
308 556 0 0 13 -7 15 -63 1 ERR
309 195 0 0 11 7 -9 -62 1 ERR
