total_symbols=3200
rtl_coverage=3200
malformed_out_lines=0
hard_errors_vs_reference=4
sign_mismatch_vs_reference=4
mean_abs_llr_delta=0.406562
floating_coverage=3200
hard_errors_vs_floating=3
sign_mismatch_vs_floating=3
mean_abs_llr_delta_vs_floating=120800.953685

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match
265 1 1 1 63.00000000 63 OK
266 0 0 0 -64.00000000 -64 OK
267 0 0 0 -64.00000000 -64 OK
268 0 0 0 -64.00000000 -64 OK
269 1 1 1 63.00000000 63 OK
270 1 1 1 63.00000000 63 OK
271 1 1 1 63.00000000 63 OK
272 0 0 0 -64.00000000 -64 OK
273 0 0 0 -64.00000000 -64 OK
274 1 1 1 63.00000000 63 OK
275 0 0 0 -64.00000000 -64 OK
276 1 1 1 63.00000000 63 OK
277 0 0 0 -64.00000000 -64 OK
278 0 0 0 -56.00000000 -56 OK
279 0 0 0 -64.00000000 -64 OK
280 0 0 0 -64.00000000 -64 OK
281 1 1 1 63.00000000 63 OK
282 0 0 0 -63.00000000 -63 OK
283 0 0 0 -64.00000000 -64 OK
284 1 1 1 63.00000000 63 OK
285 0 0 0 -56.00000000 -56 OK
286 0 0 0 -64.00000000 -64 OK
287 0 0 0 -64.00000000 -64 OK
288 0 0 0 -64.00000000 -64 OK
289 0 0 0 -63.00000000 -63 OK
290 0 0 0 -64.00000000 -64 OK
291 0 0 0 -64.00000000 -64 OK
292 0 0 0 -64.00000000 -64 OK
293 0 0 0 -64.00000000 -64 OK
294 1 1 1 63.00000000 63 OK
295 0 0 0 -64.00000000 -64 OK
296 1 1 1 63.00000000 63 OK
297 1 1 1 63.00000000 63 OK
298 1 1 1 63.00000000 63 OK
299 1 1 1 63.00000000 63 OK
300 1 1 1 63.00000000 63 OK
301 0 0 0 -64.00000000 -64 OK
302 0 0 0 -64.00000000 -64 OK
303 0 0 0 -64.00000000 -64 OK
304 1 1 1 63.00000000 63 OK
305 1 1 1 63.00000000 63 OK
306 0 0 0 -64.00000000 -64 OK
307 1 1 1 63.00000000 63 OK
308 0 0 0 -64.00000000 -64 OK
309 0 0 0 -64.00000000 -64 OK
310 0 0 0 -64.00000000 -64 OK
311 0 0 0 -64.00000000 -64 OK
312 0 0 0 -64.00000000 -64 OK
313 0 0 0 -64.00000000 -64 OK
314 1 1 1 63.00000000 63 OK
315 0 0 0 -64.00000000 -64 OK
316 1 1 1 63.00000000 63 OK
317 0 0 0 -64.00000000 -64 OK
318 1 1 1 63.00000000 63 OK
319 0 0 0 -64.00000000 -64 OK
320 0 0 0 -64.00000000 -64 OK
321 1 1 1 63.00000000 63 OK
322 0 0 0 -64.00000000 -64 OK
323 0 0 0 -64.00000000 -64 OK
324 1 1 1 63.00000000 63 OK
325 1 1 1 63.00000000 63 OK
326 0 0 0 -64.00000000 -64 OK
327 0 0 0 -64.00000000 -64 OK
328 0 0 0 -64.00000000 -64 OK
329 0 0 0 -64.00000000 -64 OK
330 0 0 0 -64.00000000 -64 OK
331 0 0 0 -64.00000000 -64 OK
332 1 1 1 63.00000000 63 OK
333 0 0 0 -64.00000000 -64 OK
334 0 0 0 -64.00000000 -64 OK
335 0 0 0 -64.00000000 -64 OK
336 0 0 0 -64.00000000 -64 OK
337 0 0 0 -64.00000000 -64 OK
338 0 0 0 -64.00000000 -64 OK
339 0 0 0 -64.00000000 -64 OK
340 0 0 0 -64.00000000 -64 OK
341 1 1 1 63.00000000 63 OK
342 1 1 1 63.00000000 63 OK
343 0 0 0 -64.00000000 -64 OK
344 1 1 1 63.00000000 63 OK
345 1 1 1 63.00000000 63 OK
346 0 0 0 -64.00000000 -64 OK
347 0 0 0 -64.00000000 -64 OK
348 0 0 0 -64.00000000 -64 OK
349 1 1 1 63.00000000 63 OK
350 0 0 0 -64.00000000 -64 OK
351 0 0 0 -64.00000000 -64 OK
352 0 0 0 -64.00000000 -64 OK
353 0 0 0 -64.00000000 -64 OK
354 0 0 0 -64.00000000 -64 OK
355 1 1 1 63.00000000 63 OK
356 0 0 0 -64.00000000 -64 OK
357 0 0 0 -64.00000000 -64 OK
358 1 1 1 63.00000000 63 OK
359 1 1 1 63.00000000 63 OK
