total_symbols=6144
rtl_coverage=6144
rtl_bit_errors_vs_original=4570
rtl_ber_vs_original=0.74381510
fixed_reference_bit_errors_vs_original=6141
fixed_reference_ber_vs_original=0.99951172
hard_errors_vs_reference=1571
sign_mismatch_vs_reference=1571
mean_abs_llr_delta=40.471354
floating_coverage=6144
floating_reference_bit_errors_vs_original=6139
floating_reference_ber_vs_original=0.99918620
hard_errors_vs_floating=1573
sign_mismatch_vs_floating=1573
mean_abs_llr_delta_vs_floating=52215.269648

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match rtl_match_orig ref_match_orig
157 0 1 1 -64.00000000 -3 OK ERR ERR
158 1 0 0 63.00000000 28 OK ERR ERR
159 1 0 0 63.00000000 49 OK ERR ERR
160 1 0 0 63.00000000 30 OK ERR ERR
161 0 1 0 -64.00000000 8 ERR OK ERR
162 1 0 1 63.00000000 -64 ERR OK ERR
163 0 1 1 -64.00000000 -64 OK ERR ERR
164 0 1 0 -64.00000000 42 ERR OK ERR
165 0 1 0 -64.00000000 46 ERR OK ERR
166 0 1 1 -64.00000000 -54 OK ERR ERR
167 1 0 0 63.00000000 28 OK ERR ERR
168 1 0 0 63.00000000 63 OK ERR ERR
169 0 1 1 -64.00000000 -42 OK ERR ERR
170 0 1 0 -64.00000000 0 ERR OK ERR
171 0 1 1 -64.00000000 -49 OK ERR ERR
172 0 1 0 -64.00000000 63 ERR OK ERR
173 0 1 1 -64.00000000 -52 OK ERR ERR
174 0 1 1 -64.00000000 -36 OK ERR ERR
175 0 1 0 -64.00000000 41 ERR OK ERR
176 1 0 0 63.00000000 63 OK ERR ERR
177 0 1 1 -64.00000000 -64 OK ERR ERR
178 1 0 0 63.00000000 63 OK ERR ERR
179 1 0 0 63.00000000 63 OK ERR ERR
180 0 1 0 -64.00000000 2 ERR OK ERR
181 0 1 0 -64.00000000 20 ERR OK ERR
182 0 1 1 -64.00000000 -34 OK ERR ERR
183 1 0 0 63.00000000 37 OK ERR ERR
184 0 1 1 -64.00000000 -64 OK ERR ERR
185 1 0 0 63.00000000 63 OK ERR ERR
186 0 1 1 -64.00000000 -40 OK ERR ERR
187 1 0 0 63.00000000 63 OK ERR ERR
188 1 0 0 63.00000000 48 OK ERR ERR
189 1 0 0 63.00000000 63 OK ERR ERR
190 1 0 0 63.00000000 62 OK ERR ERR
191 1 0 0 63.00000000 48 OK ERR ERR
192 0 1 1 -64.00000000 -64 OK ERR ERR
193 0 1 1 -64.00000000 -62 OK ERR ERR
194 1 0 0 63.00000000 59 OK ERR ERR
195 1 0 0 63.00000000 50 OK ERR ERR
196 0 1 1 -64.00000000 -48 OK ERR ERR
197 0 1 1 -64.00000000 -62 OK ERR ERR
198 1 0 0 63.00000000 53 OK ERR ERR
199 1 0 0 63.00000000 63 OK ERR ERR
200 1 0 0 63.00000000 63 OK ERR ERR
201 0 1 1 -64.00000000 -33 OK ERR ERR
202 0 1 1 -64.00000000 -63 OK ERR ERR
203 0 1 1 -64.00000000 -48 OK ERR ERR
204 0 1 1 -64.00000000 -30 OK ERR ERR
205 1 0 0 63.00000000 20 OK ERR ERR
206 1 0 0 63.00000000 17 OK ERR ERR
207 0 1 1 -64.00000000 -22 OK ERR ERR
208 0 1 1 -64.00000000 -27 OK ERR ERR
209 0 1 0 -64.00000000 29 ERR OK ERR
210 0 1 0 -64.00000000 40 ERR OK ERR
211 0 1 1 -64.00000000 -45 OK ERR ERR
212 0 1 1 -64.00000000 -30 OK ERR ERR
213 0 1 1 -64.00000000 -43 OK ERR ERR
214 0 1 1 -64.00000000 -21 OK ERR ERR
215 1 0 0 63.00000000 47 OK ERR ERR
216 1 0 1 63.00000000 -20 ERR OK ERR
217 1 0 0 63.00000000 18 OK ERR ERR
218 1 0 0 63.00000000 63 OK ERR ERR
219 1 0 0 63.00000000 18 OK ERR ERR
220 0 1 1 -64.00000000 -43 OK ERR ERR
221 1 0 0 63.00000000 32 OK ERR ERR
222 0 1 1 -64.00000000 -33 OK ERR ERR
223 1 0 0 63.00000000 33 OK ERR ERR
224 1 0 1 63.00000000 -35 ERR OK ERR
225 0 1 1 -64.00000000 -52 OK ERR ERR
226 0 1 0 -64.00000000 34 ERR OK ERR
227 0 1 0 -64.00000000 13 ERR OK ERR
228 0 1 0 -64.00000000 48 ERR OK ERR
229 1 0 1 63.00000000 -41 ERR OK ERR
230 0 1 1 -64.00000000 -62 OK ERR ERR
231 1 0 0 63.00000000 38 OK ERR ERR
232 0 1 1 -64.00000000 -64 OK ERR ERR
233 1 0 0 63.00000000 36 OK ERR ERR
234 1 0 1 63.00000000 -1 ERR OK ERR
235 1 0 0 63.00000000 38 OK ERR ERR
236 0 1 0 -64.00000000 1 ERR OK ERR
237 1 0 0 63.00000000 48 OK ERR ERR
238 0 1 0 -64.00000000 17 ERR OK ERR
239 1 0 1 63.00000000 -25 ERR OK ERR
240 1 0 0 63.00000000 37 OK ERR ERR
241 0 1 0 -64.00000000 15 ERR OK ERR
242 0 1 1 -64.00000000 -43 OK ERR ERR
243 1 0 1 63.00000000 -31 ERR OK ERR
244 0 1 1 -64.00000000 -27 OK ERR ERR
245 0 1 1 -64.00000000 -19 OK ERR ERR
