# idx_int bit_int post_llr hard
309 0 -19.79273519 0
310 1 18.75808743 1
311 1 12.95180632 1
312 0 -31.74697526 0
313 0 -26.32718519 0
314 0 -25.87281395 0
315 0 -29.49586796 0
316 0 -18.33615298 0
317 0 -22.95189257 0
318 0 -27.95135367 0
319 0 -29.78307134 0
