Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=40
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
199 2849 1 1 -3 14 -16 63 1 OK
200 3832 1 1 -11 -16 7 63 1 OK
201 4239 1 1 -7 0 -7 63 1 OK
202 4070 0 0 12 -9 -10 -64 0 OK
203 3325 1 1 -12 10 10 63 1 OK
204 2004 1 1 -4 -3 1 63 1 OK
205 107 1 1 -11 -13 4 63 1 OK
206 3778 1 1 -15 7 2 63 1 OK
207 729 1 1 -15 2 12 63 1 OK
208 3248 0 0 5 -7 15 -64 0 OK
209 5191 0 0 -5 15 15 -64 0 OK
210 414 1 1 0 -16 0 63 1 OK
211 1205 1 1 -3 11 -2 63 1 OK
212 1420 0 0 13 -2 -16 -64 0 OK
213 1059 1 1 -2 -12 4 63 1 OK
214 122 1 1 -10 -6 15 63 1 OK
215 4753 0 0 9 -11 5 -64 0 OK
216 2664 0 0 12 -15 13 -64 0 OK
217 6143 0 0 8 6 -10 -64 0 OK
218 2902 1 1 -13 12 7 63 1 OK
219 5229 0 0 11 6 13 -64 0 OK
220 836 0 0 7 -14 -3 -64 0 OK
221 2011 0 0 11 -7 -14 -64 0 OK
222 2610 0 0 6 3 14 -64 0 OK
223 2633 0 0 13 13 1 -64 0 OK
224 2080 0 0 15 -9 10 -64 0 OK
225 951 1 1 -5 -13 9 63 1 OK
226 5390 1 1 -16 -16 -12 63 1 OK
227 3109 1 1 -7 -1 5 63 1 OK
228 252 0 0 13 5 13 -64 0 OK
229 2963 1 1 -12 -3 8 63 1 OK
230 5098 0 0 15 -16 -4 -64 0 OK
231 513 1 1 -16 -5 -1 63 1 OK
232 1496 1 1 4 0 4 63 1 OK
233 1903 0 0 6 -6 -13 -64 0 OK
234 1734 1 1 -10 9 -7 63 1 OK
235 989 1 1 -9 9 -5 63 1 OK
236 5812 0 0 12 -7 6 -64 0 OK
237 3915 1 1 -13 -12 -16 63 1 OK
238 1442 0 0 4 5 15 -64 0 OK
239 4537 0 0 9 9 15 -64 0 OK
240 912 1 1 -16 1 -3 63 1 OK
241 2855 0 0 4 -13 -11 -64 0 OK
242 4222 1 1 -2 -7 6 63 1 OK
243 5013 1 1 -16 -3 -16 63 1 OK
244 5228 1 1 -10 -6 -14 63 1 OK
245 4867 0 0 15 2 -1 -64 0 OK
246 3930 0 0 -2 3 5 -64 0 OK
247 2417 0 0 4 -8 -16 -64 0 OK
248 328 1 1 -9 -2 -7 63 1 OK
249 3807 1 1 -16 12 -9 63 1 OK
250 566 0 0 13 -5 11 -64 0 OK
251 2893 1 1 -4 -16 3 63 1 OK
252 4644 0 0 6 4 15 -64 0 OK
253 5819 1 1 -10 -10 -16 63 1 OK
254 274 0 0 2 -16 8 -64 0 OK
255 297 0 0 15 15 2 -64 0 OK
256 5888 0 0 13 -13 -7 -64 0 OK
257 4759 1 1 -6 -13 -16 63 1 OK
258 3054 1 1 -14 -7 -14 63 1 OK
259 773 0 0 12 10 -16 -64 0 OK
260 4060 1 1 -8 -1 -15 63 1 OK
261 627 1 1 -16 13 -16 63 1 OK
262 2762 1 1 0 -13 14 63 1 OK
263 4321 1 1 -9 0 -5 63 1 OK
264 5304 0 0 9 -12 10 -64 0 OK
265 5711 1 1 -8 15 7 63 1 OK
266 5542 1 1 -14 -12 4 63 1 OK
267 4797 0 0 15 15 1 -64 0 OK
268 3476 1 1 -10 10 -5 63 1 OK
269 1579 0 0 10 15 -10 -64 0 OK
270 5250 0 0 7 -7 -16 -64 0 OK
271 2201 0 0 12 -6 -16 -64 0 OK
272 4720 0 0 2 -5 13 -64 0 OK
273 519 0 0 15 9 15 -64 0 OK
274 1886 0 0 15 -4 -6 -64 0 OK
275 2677 1 1 -3 0 0 63 1 OK
276 2892 1 1 -8 -2 6 63 1 OK
277 2531 1 1 -3 2 -2 63 1 OK
278 1594 0 0 15 13 -16 -64 0 OK
279 81 0 0 3 9 7 -64 0 OK
280 4136 1 1 -2 4 -16 63 1 OK
281 1471 1 1 -9 12 -15 63 1 OK
282 4374 1 1 -8 -10 -10 63 1 OK
283 557 0 0 -4 -11 9 -64 0 OK
284 2308 1 1 -13 -7 15 63 1 OK
285 3483 1 1 -16 7 12 63 1 OK
286 4082 1 1 -16 7 -3 63 1 OK
287 4105 0 0 6 -13 -5 -64 0 OK
288 3552 1 1 5 0 -14 63 1 OK
289 2423 0 0 15 12 15 -64 0 OK
290 718 1 1 -1 -1 -9 63 1 OK
291 4581 0 0 -5 -12 10 -64 0 OK
292 1724 0 0 10 15 5 -64 0 OK
293 4435 1 1 -3 15 -13 63 1 OK
294 426 1 1 -13 -4 2 63 1 OK
295 1985 0 0 3 -16 2 -64 0 OK
296 2968 1 1 1 -16 11 63 1 OK
297 3375 1 1 -16 0 -14 63 1 OK
298 3206 1 1 -5 5 -2 63 1 OK
299 2461 1 1 -15 7 15 63 1 OK
300 1140 1 1 -6 -13 6 63 1 OK
301 5387 1 1 -7 9 15 63 1 OK
302 2914 0 0 -4 11 -12 -64 0 OK
303 6009 0 0 11 14 11 -64 0 OK
304 2384 1 1 -10 -8 8 63 1 OK
305 4327 0 0 13 14 15 -64 0 OK
306 5694 1 1 -3 15 -16 63 1 OK
307 341 1 1 -13 -9 7 63 1 OK
308 556 0 0 14 -2 -9 -64 0 OK
309 195 1 1 -1 -14 -11 63 1 OK
310 5402 1 1 -8 11 15 63 1 OK
