# idx_orig bit_orig post_llr hard
356 0 -18465.39647680 0
357 0 -12243.15855680 0
358 1 9637.35751340 1
359 1 15553.94793682 1
360 0 -14660.32024232 0
361 0 -20106.36654509 0
362 1 22152.54792028 1
363 1 14955.48302973 1
364 0 -12029.08554828 0
365 0 -10048.94417783 0
366 1 23003.06074388 1
367 1 23190.85807557 1
368 0 -25824.31625564 0
369 0 -26824.49437562 0
370 1 18038.85109576 1
371 0 -23047.48956224 0
372 1 20905.94545619 1
373 1 28102.43949485 1
374 1 30218.11678018 1
375 1 36187.40271052 1
376 0 -32068.68576138 0
377 1 30126.67803507 1
378 1 29478.40130808 1
379 0 -26593.47153113 0
380 1 34636.37090041 1
381 1 31597.01724646 1
382 0 -29836.71502169 0
383 1 26451.57985638 1
384 1 27521.56924461 1
385 0 -24898.13260339 0
386 1 26524.87089421 1
387 1 31063.48968110 1
388 1 28553.57411111 1
389 1 29736.39447414 1
390 0 -26931.02954403 0
391 0 -16005.89465039 0
392 0 -24145.26215549 0
393 0 -19497.15552657 0
394 0 -24166.88167081 0
395 0 -27061.42355490 0
396 1 27251.82935042 1
397 0 -29045.69458411 0
398 1 21138.22766142 1
399 0 -23669.94004484 0
400 0 -19090.06334379 0
401 1 28039.08685478 1
402 1 30880.87268839 1
403 1 24050.40258307 1
404 1 27288.26377581 1
405 1 17526.43221202 1
406 0 -20404.87338896 0
407 0 -18275.41238390 0
408 0 -21545.83996388 0
409 0 -25629.89827769 0
410 0 -19762.77270530 0
411 0 -23964.86955277 0
412 0 -17658.60467192 0
413 0 -17370.23517218 0
414 1 16387.31848966 1
415 0 -19351.84657041 0
416 0 -20053.13105924 0
417 0 -22097.23546680 0
418 1 24184.33614545 1
419 1 17622.00166725 1
420 0 -15087.14875281 0
421 1 18710.58714378 1
422 0 -20517.05526653 0
423 0 -29574.13389381 0
424 1 23861.66034508 1
425 0 -24546.45460105 0
426 0 -11497.94090345 0
427 1 21550.98405498 1
428 0 -19879.01326197 0
429 0 -27492.14291742 0
430 1 24914.28342122 1
431 0 -27023.09338623 0
432 0 -31264.73891768 0
433 1 17238.22054032 1
434 0 -27852.69785927 0
435 1 20761.73984879 1
436 0 -30873.62940301 0
437 0 -25689.50808773 0
438 0 -27407.63423925 0
439 0 -27709.08520909 0
440 0 -19128.55447364 0
441 0 -19615.90169999 0
442 0 -7930.12820459 0
443 1 24559.80100660 1
444 0 -20222.06409577 0
445 0 -26250.71017050 0
446 1 21186.78009579 1
447 1 18155.90455253 1
448 0 -20176.47728621 0
449 0 -8570.42999380 0
450 1 25736.96633518 1
451 1 27550.38220741 1
452 0 -24918.38176220 0
453 1 24986.35716941 1
454 1 25248.31306055 1
455 1 24548.46612264 1
456 1 22091.33820141 1
457 0 -34051.09093242 0
458 1 27120.07644820 1
459 0 -29998.54225216 0
460 1 34201.58697260 1
461 0 -25683.56286910 0
462 1 35183.03882939 1
463 1 27484.07448550 1
464 1 30190.24753905 1
465 1 34279.97582833 1
466 1 29142.92039071 1
467 0 -28010.07649998 0
468 0 -20266.05962531 0
469 1 23386.85174447 1
470 1 21733.86305620 1
