# idx_int bit_int post_llr_q hard
668 1 63 1
669 0 -64 0
670 1 63 1
671 1 63 1
672 1 63 1
673 1 63 1
674 1 59 1
675 1 63 1
676 0 -64 0
677 0 -64 0
678 1 60 1
679 1 63 1
680 1 63 1
681 1 63 1
682 1 63 1
683 1 63 1
684 1 63 1
685 1 63 1
686 1 63 1
687 1 63 1
688 1 63 1
689 0 -64 0
690 1 63 1
691 1 63 1
692 0 -64 0
693 1 63 1
694 0 -64 0
695 1 63 1
696 1 63 1
697 1 63 1
698 0 -64 0
699 1 53 1
700 1 63 1
701 0 -64 0
702 0 -64 0
703 1 63 1
704 1 63 1
705 1 63 1
706 1 63 1
707 1 63 1
708 0 -64 0
709 1 63 1
710 0 -64 0
711 1 63 1
712 0 -64 0
713 0 -64 0
714 0 -64 0
715 1 63 1
716 1 63 1
717 0 -64 0
718 0 -64 0
719 1 63 1
720 1 63 1
721 0 -64 0
722 0 -64 0
723 1 63 1
724 1 63 1
725 0 -64 0
726 0 -64 0
727 0 -64 0
728 1 63 1
729 1 63 1
730 0 -64 0
731 1 63 1
732 0 -64 0
733 0 -64 0
734 0 -64 0
735 1 63 1
736 1 63 1
737 1 45 1
738 1 63 1
739 0 -64 0
740 1 63 1
741 0 -64 0
742 0 -64 0
743 1 63 1
744 0 -64 0
745 1 63 1
746 0 -64 0
747 0 -64 0
748 0 -64 0
749 0 -64 0
750 1 63 1
751 1 63 1
752 1 63 1
753 0 -64 0
754 0 -64 0
755 1 63 1
756 0 -64 0
757 1 63 1
758 0 -64 0
759 1 63 1
760 1 63 1
761 1 63 1
762 1 63 1
763 0 -64 0
764 1 63 1
765 1 63 1
766 1 63 1
767 0 -64 0
768 1 0 0
769 1 63 1
770 1 63 1
771 1 63 1
772 1 63 1
773 0 -64 0
774 0 -64 0
775 1 63 1
776 1 63 1
777 0 -64 0
778 0 -64 0
779 1 63 1
780 0 -64 0
781 1 63 1
782 0 -64 0
783 0 -64 0
784 1 63 1
785 0 -64 0
786 0 -64 0
787 0 -64 0
788 0 -64 0
789 1 63 1
790 0 -64 0
791 1 63 1
792 1 63 1
793 0 -64 0
794 0 -64 0
795 1 63 1
796 0 -64 0
797 1 63 1
798 0 -64 0
799 1 63 1
800 1 63 1
801 0 -64 0
802 0 -64 0
803 0 -64 0
804 0 -64 0
805 0 -64 0
806 1 63 1
807 0 -64 0
808 0 -64 0
809 0 -64 0
810 1 63 1
811 0 -64 0
812 1 63 1
813 0 -64 0
814 0 -64 0
815 0 -64 0
816 0 -64 0
817 0 -64 0
818 1 63 1
819 1 63 1
820 0 -64 0
821 0 -64 0
822 1 63 1
823 1 63 1
824 1 63 1
825 0 -64 0
826 0 -64 0
827 0 -64 0
828 0 -64 0
829 1 63 1
830 0 -64 0
831 0 -64 0
832 1 63 1
833 0 -64 0
834 0 -64 0
835 1 63 1
836 1 63 1
837 1 63 1
838 1 63 1
839 1 63 1
840 1 63 1
841 1 63 1
842 0 -64 0
843 1 63 1
844 0 -64 0
845 1 50 1
846 1 63 1
847 0 -64 0
848 1 63 1
849 1 63 1
850 0 -64 0
851 0 -64 0
852 0 -64 0
853 0 -64 0
854 1 63 1
855 0 -64 0
856 0 -64 0
857 0 -64 0
858 0 -64 0
859 1 63 1
860 1 63 1
861 1 63 1
862 0 -64 0
863 0 -64 0
864 0 -64 0
865 1 63 1
866 1 63 1
867 1 63 1
868 0 -64 0
869 1 63 1
870 1 63 1
871 1 63 1
872 0 -64 0
873 0 -64 0
874 1 63 1
875 1 63 1
876 0 -64 0
877 0 -64 0
878 1 63 1
879 1 63 1
880 0 -64 0
881 1 63 1
882 1 63 1
883 1 63 1
884 0 -64 0
885 1 63 1
886 0 -64 0
887 1 63 1
888 0 -64 0
889 1 63 1
890 1 63 1
891 1 63 1
892 1 63 1
893 1 63 1
894 1 63 1
895 1 63 1
896 1 63 1
897 0 -64 0
898 0 -64 0
899 0 -64 0
900 0 -64 0
901 0 -64 0
902 1 63 1
903 1 63 1
904 0 -64 0
905 1 63 1
906 1 63 1
907 0 -64 0
908 0 -64 0
909 1 63 1
910 1 63 1
911 0 -64 0
912 1 63 1
913 0 63 1
914 1 63 1
915 1 63 1
916 1 63 1
917 1 63 1
918 0 -64 0
919 0 -64 0
920 1 63 1
921 1 63 1
922 0 -64 0
923 0 -64 0
924 0 -64 0
925 0 -64 0
926 1 63 1
927 1 63 1
928 0 -64 0
929 0 -64 0
930 0 -64 0
931 1 63 1
932 1 63 1
933 1 63 1
934 0 -64 0
935 0 -64 0
936 0 -64 0
937 0 -64 0
938 0 -64 0
939 1 63 1
940 0 -64 0
941 0 -64 0
942 0 -64 0
943 0 -64 0
944 1 63 1
945 1 63 1
946 1 63 1
947 0 -64 0
948 1 63 1
949 1 63 1
950 1 63 1
951 1 63 1
952 0 -55 0
953 0 -64 0
954 1 63 1
955 1 63 1
956 1 63 1
957 0 -64 0
958 1 63 1
959 1 63 1
960 1 63 1
961 0 -64 0
962 0 -64 0
963 0 -64 0
964 1 63 1
965 0 -64 0
966 1 63 1
967 0 -64 0
968 0 -64 0
969 1 63 1
970 1 63 1
971 0 -64 0
972 1 63 1
973 1 63 1
974 0 -64 0
975 1 63 1
976 1 63 1
977 0 -64 0
978 1 63 1
979 0 -64 0
980 1 63 1
981 1 63 1
982 0 -64 0
983 0 -64 0
984 0 -64 0
985 0 -64 0
986 0 -64 0
987 0 -64 0
988 0 -64 0
989 1 63 1
990 0 -64 0
991 0 -64 0
992 0 -64 0
993 1 63 1
994 1 63 1
995 1 63 1
996 0 -64 0
997 1 63 1
998 0 -64 0
999 0 -64 0
1000 0 -64 0
1001 1 63 1
1002 0 -64 0
1003 1 63 1
1004 0 -64 0
1005 0 -64 0
1006 1 63 1
1007 1 63 1
1008 1 63 1
1009 0 -64 0
1010 0 -64 0
1011 1 63 1
1012 1 63 1
1013 1 63 1
1014 1 63 1
1015 0 -64 0
1016 0 -64 0
1017 1 25 1
1018 1 63 1
1019 0 -64 0
1020 0 -64 0
1021 1 63 1
1022 1 63 1
1023 1 63 1
1024 1 63 1
1025 0 -64 0
1026 0 -64 0
1027 0 -64 0
1028 0 -64 0
1029 1 63 1
1030 0 -64 0
1031 0 -64 0
1032 1 63 1
1033 1 63 1
1034 0 -64 0
1035 0 -64 0
1036 0 -64 0
1037 0 -64 0
1038 0 -64 0
1039 1 63 1
1040 0 -64 0
1041 1 63 1
1042 0 -64 0
1043 0 -64 0
1044 1 63 1
1045 1 63 1
1046 1 63 1
1047 1 63 1
1048 0 -64 0
1049 0 -64 0
1050 0 -64 0
1051 1 63 1
1052 0 -64 0
1053 1 63 1
1054 0 -64 0
1055 0 -64 0
1056 1 63 1
1057 1 63 1
1058 0 -64 0
1059 0 -64 0
1060 1 55 1
1061 0 -64 0
1062 0 -64 0
1063 1 63 1
1064 0 -64 0
1065 0 -64 0
1066 1 63 1
1067 1 63 1
1068 1 63 1
1069 0 -64 0
1070 0 -64 0
1071 0 -64 0
1072 1 63 1
1073 1 63 1
1074 0 -64 0
1075 1 63 1
1076 0 -64 0
1077 1 63 1
1078 1 63 1
1079 0 -64 0
1080 0 -64 0
1081 0 -64 0
1082 0 -64 0
1083 0 -64 0
1084 1 63 1
1085 0 -64 0
1086 0 -64 0
1087 1 63 1
1088 1 63 1
1089 1 63 1
1090 0 -64 0
1091 0 -64 0
1092 1 63 1
1093 0 -64 0
1094 1 63 1
1095 1 63 1
1096 0 -64 0
1097 0 -64 0
1098 0 -64 0
1099 1 63 1
1100 0 -64 0
1101 1 63 1
1102 1 63 1
1103 0 -64 0
1104 1 63 1
1105 1 63 1
1106 1 63 1
1107 0 -64 0
1108 1 63 1
1109 1 63 1
1110 1 63 1
1111 1 63 1
1112 1 63 1
1113 0 -64 0
1114 1 63 1
1115 1 63 1
1116 0 -64 0
1117 0 -64 0
1118 0 -64 0
1119 1 63 1
1120 1 63 1
1121 0 -64 0
1122 0 -64 0
1123 0 -64 0
1124 0 -64 0
1125 1 63 1
1126 0 -64 0
1127 0 -64 0
1128 1 63 1
1129 1 63 1
1130 0 -64 0
1131 0 -64 0
1132 1 63 1
1133 1 63 1
1134 0 -64 0
1135 1 63 1
1136 0 -64 0
1137 0 -64 0
1138 1 63 1
1139 0 -64 0
1140 1 63 1
1141 0 -64 0
1142 0 -64 0
1143 1 63 1
1144 1 63 1
1145 0 -64 0
1146 0 -64 0
1147 1 63 1
1148 0 -64 0
1149 1 63 1
1150 0 -64 0
1151 1 63 1
1152 1 63 1
1153 1 63 1
1154 0 -64 0
1155 0 -64 0
1156 0 -64 0
1157 0 -64 0
1158 1 63 1
1159 0 -64 0
1160 0 -64 0
1161 1 63 1
1162 1 63 1
1163 0 -64 0
1164 1 63 1
1165 1 63 1
1166 1 63 1
1167 1 63 1
1168 1 45 1
1169 1 63 1
1170 0 -64 0
1171 0 -64 0
1172 0 -64 0
1173 1 63 1
1174 0 -64 0
1175 1 51 1
1176 1 63 1
1177 0 -64 0
1178 1 63 1
1179 0 -64 0
1180 0 -64 0
1181 0 -64 0
1182 0 -64 0
1183 0 -64 0
1184 0 -64 0
1185 0 -64 0
1186 1 63 1
1187 1 63 1
1188 0 -64 0
1189 1 63 1
1190 1 63 1
1191 0 -64 0
1192 1 63 1
1193 1 63 1
1194 0 63 1
1195 0 -64 0
1196 0 -64 0
1197 0 -64 0
1198 1 63 1
1199 0 -64 0
1200 1 63 1
1201 0 -64 0
1202 0 -64 0
1203 0 -64 0
1204 1 63 1
1205 1 63 1
1206 1 63 1
1207 0 -64 0
1208 0 -64 0
1209 1 63 1
1210 1 63 1
1211 1 63 1
1212 0 -64 0
1213 0 -64 0
1214 1 63 1
1215 0 -64 0
1216 0 -64 0
1217 0 -64 0
1218 0 -64 0
1219 0 -64 0
1220 1 63 1
1221 0 -64 0
1222 1 63 1
1223 0 -64 0
1224 1 63 1
1225 0 -64 0
1226 1 63 1
1227 1 63 1
1228 0 -64 0
1229 1 63 1
1230 1 63 1
1231 1 63 1
1232 1 63 1
1233 1 63 1
1234 0 -64 0
1235 1 63 1
1236 0 -64 0
1237 0 -64 0
1238 1 63 1
1239 1 63 1
1240 1 63 1
1241 1 63 1
1242 0 -64 0
1243 1 63 1
1244 0 -45 0
1245 0 -64 0
1246 1 63 1
1247 1 63 1
1248 1 63 1
1249 1 63 1
1250 0 -64 0
1251 1 63 1
1252 0 -64 0
1253 0 -64 0
1254 1 63 1
1255 0 -64 0
1256 0 -64 0
1257 0 -64 0
1258 1 63 1
1259 1 63 1
1260 0 -64 0
1261 1 63 1
1262 0 -64 0
1263 1 63 1
1264 1 63 1
1265 0 -64 0
1266 1 63 1
1267 0 -64 0
1268 1 63 1
1269 0 -64 0
1270 0 -64 0
1271 0 -64 0
1272 0 -64 0
1273 0 -64 0
1274 0 -64 0
1275 0 -64 0
1276 1 63 1
1277 1 63 1
1278 1 63 1
1279 1 63 1
1280 1 63 1
1281 1 63 1
1282 0 -64 0
1283 1 63 1
1284 1 63 1
1285 1 63 1
1286 0 -64 0
1287 1 63 1
1288 0 -64 0
1289 0 -64 0
1290 0 -64 0
1291 0 -64 0
1292 1 63 1
1293 1 63 1
1294 1 63 1
1295 0 -64 0
1296 1 63 1
1297 1 63 1
1298 0 -57 0
1299 0 -64 0
1300 0 -64 0
1301 1 63 1
1302 0 -64 0
1303 0 -64 0
1304 0 -64 0
1305 0 -64 0
1306 1 63 1
1307 1 63 1
1308 0 -64 0
1309 1 63 1
1310 0 -64 0
1311 0 -64 0
1312 0 -64 0
1313 1 63 1
1314 1 63 1
1315 1 63 1
1316 1 63 1
1317 1 63 1
1318 0 -64 0
1319 0 -64 0
1320 1 63 1
1321 0 -44 0
1322 0 -64 0
1323 1 63 1
1324 1 63 1
1325 1 63 1
1326 0 -64 0
1327 1 63 1
1328 0 -64 0
1329 1 63 1
1330 0 -64 0
1331 1 63 1
1332 0 -64 0
1333 1 63 1
1334 0 -64 0
1335 1 63 1
1336 0 -64 0
1337 0 -64 0
1338 0 -64 0
1339 1 63 1
1340 1 63 1
1341 1 63 1
1342 0 -64 0
1343 0 -64 0
1344 0 -64 0
1345 1 63 1
1346 0 -64 0
1347 1 63 1
1348 1 63 1
1349 1 63 1
1350 0 -64 0
1351 1 63 1
1352 0 -64 0
1353 1 63 1
1354 1 63 1
1355 0 -64 0
1356 0 -64 0
1357 0 -64 0
1358 0 -64 0
1359 0 -64 0
1360 0 -64 0
1361 1 63 1
1362 0 -64 0
1363 0 -64 0
1364 0 -64 0
1365 0 -64 0
1366 0 -64 0
1367 1 63 1
